country,fund,row_count,total_aum_eur
Germany,EdR Fund Healthcare,12,1333746.00
Switzerland,EdR SICAV - European Catalysts,19,1289263.00
Germany,EdR SICAV - Tech for Tomorrow,1,1197948.00
Spain,EdR SICAV - Tricolore Convictions,6,1059950.00
Italy,EdR India,10,992298.00
Spain,EdR Fund China,9,974566.00
Spain,EdR Fund Euro High Yield,5,953205.00
Spain,EdR Fund Emerging Sovereign,15,873365.00
Germany,EdR Fund Emerging Sovereign,28,868186.00
Switzerland,EdR Fund Human Capital,12,813724.00
Germany,EdR Fund US Value,22,808113.00
Switzerland,EdR Goldsphere,12,758984.00
Italy,EdR Fund China,15,690099.00
Italy,EdR SICAV - Global Resilience,8,684440.00
Switzerland,EdR SICAV - Millesima 2032,1,603300.00
Spain,EdR India,8,592538.00
Italy,EdR Fund US Value,13,579221.00
Germany,EdR SICAV - European Catalysts,7,468142.00
Germany,EdR Fund Income Europe,15,465340.00
Germany,EdR India,6,253453.00
Italy,EdR SICAV - European Smaller Companies,2,249425.00
Germany,EdR SICAV - Short Duration Credit,6,246175.00
Italy,EdR SICAV - European Catalysts,5,218064.00
Germany,EdR Fund Human Capital,7,168372.00
Italy,EdR SICAV - Green New Deal,5,160502.00
Germany,EdR Fund Strategic Emerging,11,143251.00
Spain,EdR SICAV - European Catalysts,5,136519.00
Italy,EdR Fund Human Capital,5,118948.00
Italy,EdR Fund Strategic Emerging,5,108410.00
Italy,EdR SICAV - Equity Euro Solve,1,80493.00
Italy,EdR SICAV - Tricolore Convictions,3,80062.00
Spain,EdR Fund Strategic Emerging,3,79099.00
Germany,EdR Goldsphere,9,58620.00
Germany,EdR Fund China,6,50935.00
Germany,EdR SICAV - Euro Sustainable Credit,3,42678.00
Italy,EdR Fund Investment Grade Credit,2,38897.00
Italy,EdR SICAV - Ultim,1,33198.00
Spain,EdR SICAV - Green New Deal,1,22002.00
Germany,EDR SICAV - Corporate Hybrid Bonds,3,20356.00
Germany,EdR SICAV - European Smaller Companies,1,14338.00
Spain,EdR SICAV - Equity Euro Solve,1,10513.00
Italy,EdR Fund QUAM 5,2,9435.00
Switzerland,EdR SICAV - Ultim,1,5009.00
Germany,EdR Fund Euro High Yield,1,4625.00
Germany,EdR SICAV - Green New Deal,1,2913.00
Spain,EdR SICAV - Ultim,1,2855.00
Germany,EdR SICAV - Equity Euro Solve,1,2213.00
Spain,EdR SICAV - Tech for Tomorrow,1,1614.00
Switzerland,EdR SICAV - Tech for Tomorrow,1,883.00
Italy,EdR Fund EM Climate Bonds,1,262.00
Spain,EdR Fund Human Capital,3,84.00
Spain,EdR SICAV - European Smaller Companies,3,7.00
Switzerland,EdR SICAV - Global Allocation,1,1.00
Germany,EdR SICAV - Tricolore Convictions,4,-37814.00
